PCON24CD,Theme,Title,Value
W07000081,economy,ATMs: total,76
W07000081,economy,Average download speeds,143
W07000081,economy,Below universal service obligation,0
W07000081,economy,Gigabit availability,83.1
W07000081,economy,House prices,145000
W07000081,economy,Receiving over 30 Mbps,87.5
W07000081,economy,Receiving under 10 Mbps,2.8
W07000081,economy,Superfast availability,98.5
W07000081,economy,Total income: median,26500
W07000081,economy,Total tax amount,153
W07000081,energy,Households off the gas grid,2.8
W07000081,society,Child poverty,27.6
W07000081,society,EU referendum using 2024 consituencies,0.6144487994
W07000081,society,Electorate,69817
W07000081,society,Fish and chip shops,9
W07000081,society,Foodbanks,1
W07000081,society,General Election (notional): 12 December 2019,Lab
W07000081,society,General Election: 4 July 2024,Lab
W07000081,society,MPs: Left vs Right,45.184
W07000081,society,Percentage of children affected by two-child limit,12
W07000081,society,Population,92319
W07000081,society,Population: by age,906
W07000081,society,Population: by group,53903
W07000081,society,Post offices,14
W07000081,society,Pubs,86
W07000081,transport,Bus stops,735
W07000081,transport,Bus stops per square km,3.04
W07000081,transport,Cars or vans by household,83
W07000081,transport,EV: combined charging availability,463
W07000081,transport,EV: home charging,382
W07000081,transport,EV: workplace charging points,60
W07000081,transport,Rail cancellations,3.3
W07000081,transport,Train stations,7
W07000081,transport,Train stations per square km,0.029
W07000081,transport,Tram and metro stops,
W07000081,transport,Tram and metro stops per square km,
S14000060,economy,ATMs: total,78
S14000060,economy,Average download speeds,98.5
S14000060,economy,Below universal service obligation,0
S14000060,economy,Gigabit availability,91.4
S14000060,economy,Receiving over 30 Mbps,84.6
S14000060,economy,Receiving under 10 Mbps,3.3
S14000060,economy,Superfast availability,97.9
S14000060,economy,Total income: median,27400
S14000060,economy,Total tax amount,290
S14000060,energy,Households off the gas grid,12.2
S14000060,society,Child poverty,25
S14000060,society,EU referendum using 2024 consituencies,0.4394618468
S14000060,society,Electorate,76895
S14000060,society,Fish and chip shops,23
S14000060,society,Foodbanks,2
S14000060,society,General Election (notional): 12 December 2019,SNP
S14000060,society,General Election: 4 July 2024,SNP
S14000060,society,Percentage of children affected by two-child limit,7
S14000060,society,Population,111956
S14000060,society,Population: by age,1049
S14000060,society,Population: by group,70939
S14000060,society,Post offices,8
S14000060,society,Pubs,50
S14000060,transport,Bus stops,649
S14000060,transport,Bus stops per square km,6.53
S14000060,transport,EV: combined charging availability,669
S14000060,transport,EV: home charging,449
S14000060,transport,EV: workplace charging points,116
S14000060,transport,Rail cancellations,2.6
S14000060,transport,Train stations,1
S14000060,transport,Train stations per square km,0.01
S14000060,transport,Tram and metro stops,
S14000060,transport,Tram and metro stops per square km,
S14000061,economy,ATMs: total,126
S14000061,economy,Average download speeds,82.6
S14000061,economy,Below universal service obligation,0.1
S14000061,economy,Gigabit availability,83.9
S14000061,economy,Receiving over 30 Mbps,82
S14000061,economy,Receiving under 10 Mbps,3.1
S14000061,economy,Superfast availability,96.4
S14000061,economy,Total income: median,30400
S14000061,economy,Total tax amount,519
