PCON24CD,Theme,Title,Value,rank,count
W07000081,economy,ATMs: total,76.0,85.0,649
W07000081,economy,Average download speeds,143.0,302.0,650
W07000081,economy,Below universal service obligation,0.0,26.0,650
W07000081,economy,Gigabit availability,83.1,126.0,650
W07000081,economy,House prices,145000.0,288.0,575
W07000081,economy,Receiving over 30 Mbps,87.5,57.0,650
W07000081,economy,Receiving under 10 Mbps,2.8,65.0,650
W07000081,economy,Superfast availability,98.5,15.0,650
W07000081,economy,Total income: median,26500.0,117.0,650
W07000081,economy,Total tax amount,153.0,341.0,650
W07000081,energy,Households off the gas grid,2.8,285.0,632
W07000081,society,Child poverty,27.6,158.0,650
W07000081,society,EU referendum using 2024 consituencies,0.6144487994,123.0,632
W07000081,society,Electorate,69817.0,611.0,649
W07000081,society,Fish and chip shops,9.0,36.0,650
W07000081,society,Foodbanks,1.0,7.0,650
W07000081,society,General Election (notional): 12 December 2019,,,0
W07000081,society,General Election: 4 July 2024,,,0
W07000081,society,MPs: Left vs Right,45.184,188.0,614
W07000081,society,Percentage of children affected by two-child limit,12.0,14.0,650
W07000081,society,Population,92319.0,601.0,650
W07000081,society,Population: by age,906.0,320.0,650
W07000081,society,Population: by group,53903.0,541.0,650
W07000081,society,Post offices,14.0,35.0,650
W07000081,society,Pubs,86.0,137.0,650
W07000081,transport,Bus stops,735.0,116.0,632
W07000081,transport,Bus stops per square km,3.04,360.0,632
W07000081,transport,Cars or vans by household,83.0,113.0,575
W07000081,transport,EV: combined charging availability,463.0,354.0,650
W07000081,transport,EV: home charging,382.0,280.0,650
W07000081,transport,EV: workplace charging points,60.0,148.0,650
W07000081,transport,Rail cancellations,3.3,47.0,632
W07000081,transport,Train stations,7.0,12.0,588
W07000081,transport,Train stations per square km,0.029,165.0,588
W07000081,transport,Tram and metro stops per square km,,,175
S14000060,economy,ATMs: total,78.0,83.0,649
S14000060,economy,Average download speeds,98.5,435.0,650
S14000060,economy,Below universal service obligation,0.0,26.0,650
S14000060,economy,Gigabit availability,91.4,59.0,650
S14000060,economy,Receiving over 30 Mbps,84.6,86.0,650
S14000060,economy,Receiving under 10 Mbps,3.3,60.0,650
S14000060,economy,Superfast availability,97.9,21.0,650
S14000060,economy,Total income: median,27400.0,108.0,650
S14000060,economy,Total tax amount,290.0,216.0,650
S14000060,energy,Households off the gas grid,12.2,195.0,632
S14000060,society,Child poverty,25.0,183.0,650
S14000060,society,EU referendum using 2024 consituencies,0.4394618468,491.0,632
S14000060,society,Electorate,76895.0,24.0,649
S14000060,society,Fish and chip shops,23.0,22.0,650
S14000060,society,Foodbanks,2.0,6.0,650
S14000060,society,General Election (notional): 12 December 2019,,,0
S14000060,society,General Election: 4 July 2024,,,0
S14000060,society,Percentage of children affected by two-child limit,7.0,19.0,650
S14000060,society,Population,111956.0,121.0,650
S14000060,society,Population: by age,1049.0,234.0,650
S14000060,society,Population: by group,70939.0,127.0,650
S14000060,society,Post offices,8.0,41.0,650
S14000060,society,Pubs,50.0,173.0,650
S14000060,transport,Bus stops,649.0,158.0,632
S14000060,transport,Bus stops per square km,6.53,260.0,632
S14000060,transport,EV: combined charging availability,669.0,255.0,650
S14000060,transport,EV: home charging,449.0,245.0,650
S14000060,transport,EV: workplace charging points,116.0,95.0,650
S14000060,transport,Rail cancellations,2.6,54.0,632
S14000060,transport,Train stations,1.0,18.0,588
S14000060,transport,Train stations per square km,0.01,184.0,588
S14000060,transport,Tram and metro stops per square km,,,175
S14000061,economy,ATMs: total,126.0,36.0,649
S14000061,economy,Average download speeds,82.6,478.0,650
S14000061,economy,Below universal service obligation,0.1,25.0,650
S14000061,economy,Gigabit availability,83.9,122.0,650
S14000061,economy,Receiving over 30 Mbps,82.0,112.0,650
S14000061,economy,Receiving under 10 Mbps,3.1,62.0,650
S14000061,economy,Superfast availability,96.4,36.0,650
S14000061,economy,Total income: median,30400.0,78.0,650
S14000061,economy,Total tax amount,519.0,87.0,650
S14000061,energy,Households off the gas grid,18.6,143.0,632
S14000061,society,Child poverty,19.7,232.0,650
S14000061,society,EU referendum using 2024 consituencies,0.3423110343,580.0,632
S14000061,society,Electorate,76560.0,59.0,649
S14000061,society,Fish and chip shops,16.0,29.0,650
S14000061,society,Foodbanks,2.0,6.0,650
S14000061,society,General Election (notional): 12 December 2019,,,0
S14000061,society,General Election: 4 July 2024,,,0
S14000061,society,Percentage of children affected by two-child limit,6.0,20.0,650
S14000061,society,Population,112076.0,118.0,650
S14000061,society,Population: by age,998.0,263.0,650
S14000061,society,Population: by group,75867.0,84.0,650
S14000061,society,Post offices,11.0,38.0,650
S14000061,society,Pubs,157.0,68.0,650
S14000061,transport,Bus stops,699.0,131.0,632
S14000061,transport,Bus stops per square km,8.1,227.0,632
S14000061,transport,EV: combined charging availability,616.0,277.0,650
S14000061,transport,EV: home charging,390.0,274.0,650
S14000061,transport,EV: workplace charging points,100.0,109.0,650
S14000061,transport,Rail cancellations,1.9,61.0,632
S14000061,transport,Train stations,1.0,18.0,588
S14000061,transport,Train stations per square km,0.012,182.0,588
S14000061,transport,Tram and metro stops per square km,,,175
S14000062,economy,ATMs: total,83.0,78.0,649
S14000062,economy,Average download speeds,71.1,502.0,650
S14000062,economy,Below universal service obligation,1.2,14.0,650
S14000062,economy,Gigabit availability,29.0,328.0,650
S14000062,economy,Receiving over 30 Mbps,77.1,153.0,650
S14000062,economy,Receiving under 10 Mbps,6.3,30.0,650
S14000062,economy,Superfast availability,88.9,93.0,650
S14000062,economy,Total income: median,26800.0,114.0,650
S14000062,economy,Total tax amount,265.0,239.0,650
S14000062,energy,Households off the gas grid,29.1,78.0,632
S14000062,society,Child poverty,23.9,194.0,650
S14000062,society,EU referendum using 2024 consituencies,0.5444720885,293.0,632
S14000062,society,Electorate,71485.0,449.0,649
S14000062,society,Fish and chip shops,16.0,29.0,650
S14000062,society,Foodbanks,0.0,8.0,650
S14000062,society,General Election (notional): 12 December 2019,,,0
S14000062,society,General Election: 4 July 2024,,,0
S14000062,society,MPs: Left vs Right,40.098,361.0,614
S14000062,society,Percentage of children affected by two-child limit,8.0,18.0,650
S14000062,society,Population,97594.0,445.0,650
S14000062,society,Population: by age,858.0,352.0,650
S14000062,society,Population: by group,56879.0,438.0,650
S14000062,society,Post offices,30.0,19.0,650
S14000062,society,Pubs,41.0,182.0,650
S14000062,transport,Bus stops,936.0,44.0,632
S14000062,transport,Bus stops per square km,0.7,488.0,632
S14000062,transport,EV: combined charging availability,437.0,370.0,650
S14000062,transport,EV: home charging,333.0,311.0,650
S14000062,transport,EV: workplace charging points,45.0,163.0,650
S14000062,transport,Rail cancellations,1.0,70.0,632
S14000062,transport,Train stations,1.0,18.0,588
S14000062,transport,Train stations per square km,0.001,193.0,588
S14000062,transport,Tram and metro stops per square km,0.0,57.0,175
S14000063,economy,ATMs: total,97.0,64.0,649
S14000063,economy,Average download speeds,182.8,118.0,650
S14000063,economy,Below universal service obligation,0.1,25.0,650
S14000063,economy,Gigabit availability,86.4,103.0,650
S14000063,economy,Receiving over 30 Mbps,88.8,44.0,650
S14000063,economy,Receiving under 10 Mbps,2.8,65.0,650
S14000063,economy,Superfast availability,97.9,21.0,650
S14000063,economy,Total income: median,28000.0,102.0,650
S14000063,economy,Total tax amount,199.0,298.0,650
S14000063,energy,Households off the gas grid,5.7,257.0,632
S14000063,society,Child poverty,31.0,126.0,650
S14000063,society,EU referendum using 2024 consituencies,0.3938743527,542.0,632
S14000063,society,Electorate,70420.0,546.0,649
S14000063,society,Fish and chip shops,6.0,39.0,650
S14000063,society,Foodbanks,1.0,7.0,650
S14000063,society,General Election (notional): 12 December 2019,,,0
S14000063,society,General Election: 4 July 2024,,,0
S14000063,society,Percentage of children affected by two-child limit,11.0,15.0,650
S14000063,society,Population,93026.0,580.0,650
S14000063,society,Population: by age,889.0,335.0,650
S14000063,society,Population: by group,58023.0,400.0,650
S14000063,society,Post offices,13.0,36.0,650
S14000063,society,Pubs,33.0,190.0,650
S14000063,transport,Bus stops,527.0,260.0,632
S14000063,transport,Bus stops per square km,2.21,397.0,632
S14000063,transport,EV: combined charging availability,846.0,172.0,650
S14000063,transport,EV: home charging,662.0,153.0,650
S14000063,transport,EV: workplace charging points,112.0,98.0,650
S14000063,transport,Rail cancellations,1.8,62.0,632
S14000063,transport,Train stations,7.0,12.0,588
S14000063,transport,Train stations per square km,0.029,165.0,588
S14000063,transport,Tram and metro stops per square km,,,175
E14001063,economy,ATMs: total,82.0,79.0,649
E14001063,economy,Average download speeds,189.1,85.0,650
E14001063,economy,Below universal service obligation,0.1,25.0,650
E14001063,economy,Gigabit availability,89.9,72.0,650
E14001063,economy,House prices,370000.0,101.0,575
E14001063,economy,Receiving over 30 Mbps,91.5,17.0,650
